employee_id,employee_name,contact_details,role,work_schedule,performance_evaluation,training_records
92,Norah O'Lennachain,216-198-4997,Storekeeper,Morning,Bad,Good
93,Rochette Garwell,373-872-7329,Pharmacist,Night,Bad,Very Good
94,Ranice Cocks,270-996-7760,Salesman,Evening,Bad,Below Average
95,Witty Plues,786-971-3798,Cashier,Evening,Excellent,Outstanding
96,Elianore Trengrove,786-769-1010,Physician,Morning,Very Bad,Poor
97,Dayle Bubb,225-468-7688,Cashier,Evening,Not Bad,Outstanding
98,Waylon Apfelmann,274-630-4727,Salesman,Night,Good,Poor
99,Calypso Agostini,702-594-8151,Salesman,Night,Excellent,Very Good
100,Shirlene Duffer,562-784-9652,Physician,Evening,Not Bad,Very Good
101,Earle Franks,604-921-3937,Cashier,Evening,Very Bad,Outstanding
102,Star Dailey,224-827-7502,Physician,Evening,Excellent,Good
103,Godiva Woodruff,933-428-0745,Pharmacist,Morning,Bad,Below Average
104,Blake Banbury,223-402-5298,Pharmacist,Night,Very Bad,Poor
105,Murielle Worsnup,989-546-3072,Physician,Night,Excellent,Very Good
106,Gwendolen Aulsford,168-912-4091,Cashier,Evening,Not Bad,Poor
107,Fayth Godbehere,831-906-0494,Cashier,Evening,Excellent,Outstanding
108,Derril Goscomb,107-310-5185,Storekeeper,Evening,Good,Below Average
109,Kimmy Rattrie,853-247-2763,Physician,Morning,Excellent,Below Average
110,Jeffie Wishkar,563-675-0088,Cashier,Night,Bad,Good
111,Wadsworth Sizey,834-744-2949,Cashier,Night,Excellent,Outstanding
112,Iago Swaisland,422-662-5168,Salesman,Evening,Excellent,Very Good
113,Parry Guerry,686-640-4997,Pharmacist,Evening,Bad,Below Average
114,Johnnie Silbert,448-127-5945,Salesman,Evening,Bad,Good
115,Jaquelin Seabrooke,922-268-3538,Salesman,Morning,Bad,Outstanding
116,Nata Trodd,210-543-5075,Cashier,Evening,Excellent,Good
117,Eduardo McGaughey,756-137-8293,Storekeeper,Evening,Very Bad,Poor
118,Berti Seacombe,622-765-4348,Salesman,Night,Not Bad,Good
119,Marylynne Dionsetto,790-101-6994,Storekeeper,Morning,Very Bad,Outstanding
120,Raffarty Scading,691-918-3306,Cashier,Morning,Very Bad,Outstanding
